"indicator_id","geo_type_id","geo_entity_id","year_id","data_value","unreliability_flag"
365,17,101,35,15.3,0
365,17,102,35,16.8,0
365,17,103,35,16.0,0
365,17,104,35,16.5,0
365,17,105,35,19.2,0
365,17,106,35,17.0,0
365,17,107,35,14.8,0
365,17,108,35,16.6,0
365,17,109,35,14.7,0
365,17,110,35,15.2,0
365,17,111,35,14.8,0
365,17,112,35,16.4,0
365,17,201,35,13.7,0
365,17,202,35,14.8,0
365,17,203,35,15.1,0
365,17,204,35,16.2,0
365,17,205,35,17.5,0
365,17,206,35,16.0,0
365,17,207,35,15.5,0
365,17,208,35,12.7,0
365,17,209,35,14.5,0
365,17,210,35,13.5,0
365,17,211,35,13.9,0
365,17,212,35,13.0,0
365,17,301,35,14.6,0
365,17,302,35,14.2,0
365,17,303,35,13.8,0
365,17,304,35,14.3,0
365,17,305,35,12.5,0
365,17,306,35,14.2,0
365,17,307,35,13.3,0
365,17,308,35,14.8,0
365,17,309,35,13.8,0
365,17,310,35,13.0,0
365,17,311,35,12.8,0
365,17,312,35,12.7,0
365,17,313,35,11.6,0
365,17,314,35,13.4,0
365,17,315,35,12.1,0
365,17,316,35,13.2,0
365,17,317,35,13.2,0
365,17,318,35,11.9,0
365,17,401,35,13.8,0
365,17,402,35,14.5,0
365,17,403,35,13.1,0
365,17,404,35,13.1,0
365,17,405,35,13.4,0
365,17,406,35,13.2,0
365,17,407,35,12.8,0
365,17,408,35,13.1,0
365,17,409,35,12.6,0
365,17,410,35,12.3,0
365,17,411,35,12.9,0
365,17,412,35,12.6,0
365,17,413,35,12.1,0
365,17,414,35,11.7,0
365,17,501,35,12.1,0
365,17,502,35,11.6,0
365,17,503,35,11.4,0
368,17,101,35,14.0,0
368,17,102,35,15.2,0
368,17,103,35,14.0,0
368,17,104,35,14.3,0
368,17,105,35,17.8,0
368,17,106,35,15.6,0
368,17,107,35,14.5,0
368,17,108,35,14.6,0
368,17,109,35,13.9,0
368,17,110,35,14.3,0
368,17,111,35,14.5,0
368,17,112,35,14.1,0
368,17,201,35,13.1,0
368,17,202,35,14.0,0
368,17,203,35,14.4,0
368,17,204,35,15.0,0
368,17,205,35,17.0,0
368,17,206,35,15.1,0
368,17,207,35,14.1,0
368,17,208,35,11.4,0
368,17,209,35,12.6,0
368,17,210,35,11.8,0
368,17,211,35,12.7,0
368,17,212,35,12.1,0
368,17,301,35,13.8,0
368,17,302,35,12.5,0
368,17,303,35,13.3,0
368,17,304,35,13.3,0
368,17,305,35,11.8,0
368,17,306,35,12.1,0
368,17,307,35,12.3,0
368,17,308,35,13.5,0
368,17,309,35,13.3,0
368,17,310,35,12.4,0
368,17,311,35,12.5,0
368,17,312,35,12.4,0
368,17,313,35,11.2,0
368,17,314,35,12.7,0
368,17,315,35,11.5,0
368,17,316,35,12.7,0
368,17,317,35,12.5,0
368,17,318,35,11.4,0
368,17,401,35,12.1,0
368,17,402,35,13.6,0
368,17,403,35,12.6,0
368,17,404,35,12.4,0
368,17,405,35,12.6,0
368,17,406,35,12.7,0
368,17,407,35,12.1,0
368,17,408,35,12.6,0
368,17,409,35,12.1,0
368,17,410,35,11.7,0
368,17,411,35,11.7,0
368,17,412,35,12.0,0
368,17,413,35,11.7,0
368,17,414,35,11.4,0
368,17,501,35,11.4,0
368,17,502,35,11.0,0
368,17,503,35,10.9,0
369,17,101,35,17.0,0
369,17,102,35,18.4,0
369,17,103,35,17.8,0
369,17,104,35,18.8,0
369,17,105,35,20.5,0
369,17,106,35,18.4,0
369,17,107,35,15.3,0
369,17,108,35,18.3,0
369,17,109,35,15.5,0
369,17,110,35,16.3,0
369,17,111,35,15.2,0
369,17,112,35,18.8,0
369,17,201,35,14.3,0
369,17,202,35,15.6,0
369,17,203,35,15.9,0
369,17,204,35,17.4,0
369,17,205,35,18.0,0
369,17,206,35,16.8,0
369,17,207,35,17.4,0
369,17,208,35,14.8,0
369,17,209,35,15.9,0
369,17,210,35,14.9,0
369,17,211,35,15.3,0
369,17,212,35,13.8,0
369,17,301,35,15.5,0
369,17,302,35,15.7,0
369,17,303,35,14.4,0
369,17,304,35,15.1,0
369,17,305,35,12.9,0
369,17,306,35,15.7,0
369,17,307,35,14.3,0
369,17,308,35,16.7,0
369,17,309,35,14.3,0
369,17,310,35,14.0,0
369,17,311,35,13.1,0
369,17,312,35,13.2,0
369,17,313,35,12.0,0
369,17,314,35,14.3,0
369,17,315,35,12.8,0
369,17,316,35,13.6,0
369,17,317,35,13.8,0
369,17,318,35,12.5,0
369,17,401,35,15.5,0
369,17,402,35,15.5,0
369,17,403,35,13.8,0
369,17,404,35,13.7,0
369,17,405,35,14.4,0
369,17,406,35,13.8,0
369,17,407,35,13.8,0
369,17,408,35,13.9,0
369,17,409,35,13.3,0
369,17,410,35,13.0,0
369,17,411,35,14.1,0
369,17,412,35,13.6,0
369,17,413,35,12.6,0
369,17,414,35,12.2,0
369,17,501,35,13.0,0
369,17,502,35,12.5,0
369,17,503,35,11.9,0
370,17,101,35,1.5,0
370,17,102,35,1.6,0
370,17,103,35,1.6,0
370,17,104,35,1.8,0
370,17,105,35,2.0,0
370,17,106,35,1.6,0
370,17,107,35,1.4,0
370,17,108,35,1.7,0
370,17,109,35,1.4,0
370,17,110,35,1.5,0
370,17,111,35,1.3,0
370,17,112,35,1.7,0
370,17,201,35,1.5,0
370,17,202,35,1.8,0
