,distance,Name_x,Name_y
2111,79.57776352753658,"Crown Heights South, Wingate","Tottenville, Woodrow, Great Kills"
2047,77.39197477256933,"Crown Heights South, Wingate","New Springville, South Beach"
986,76.6654427916023,"Crown Heights South, Wingate","Coney Island, Brighton Beach"
1922,76.05476223071504,"Crown Heights South, Wingate","The Rockaways, Broad Channel"
1069,75.83419454116546,"Crown Heights South, Wingate","Sheepshead Bay, Gerritsen Beach"
907,74.85749124464142,"Crown Heights South, Wingate","Bensonhurst, Bath Beach"
812,74.45247269831691,"Washington Heights, Inwood","Crown Heights South, Wingate"
869,73.45612085652255,"Crown Heights South, Wingate","Bay Ridge, Dyker Heights"
946,73.4421736640633,"Crown Heights South, Wingate","Borough Park, Ocean Parkway"
1984,73.33154861198841,"Crown Heights South, Wingate","Stapleton, Port Richmond"
1159,72.2746640532063,"Crown Heights South, Wingate","Canarsie, Flatlands"
1861,72.00877954692001,"Crown Heights South, Wingate","Queens Village, Rosedale"
828,71.76047885353137,"East New York, Starrett City","Crown Heights South, Wingate"
1027,71.3833454872017,"Crown Heights South, Wingate","Flatbush, Midwood"
830,71.28840594268081,"Sunset Park, Windsor Terrace","Crown Heights South, Wingate"
1684,70.60805975124957,"Crown Heights South, Wingate","Ozone Park, Howard Beach"
831,70.28745454552944,Crown Heights North,"Crown Heights South, Wingate"
829,70.131141301487,"Park Slope, Carroll Gardens","Crown Heights South, Wingate"
1112,69.91241237806815,"Crown Heights South, Wingate","Brownsville, Ocean Hill"
825,68.97256223402138,"Brooklyn Heights, Fort Greene","Crown Heights South, Wingate"
826,68.97075335566002,Bedford Stuyvesant,"Crown Heights South, Wingate"
827,68.50920339019089,Bushwick,"Crown Heights South, Wingate"
1627,68.4948801767295,"Crown Heights South, Wingate","Woodhaven, Richmond Hill"
801,67.86520332624961,"Battery Park City, Tribeca","Crown Heights South, Wingate"
1801,67.42179936117847,"Crown Heights South, Wingate","Jamaica, St. Albans, Hollis"
383,67.19685071937504,"Crown Heights South, Wingate","East Flatbush, Rugby, Farragut"
382,67.19685071937504,"Crown Heights South, Wingate","Bedford Park, Norwood, Fordham"
381,67.19685071937504,"Crown Heights South, Wingate",New York City
797,67.19685071937498,"East Flatbush, Rugby, Farragut","Crown Heights South, Wingate"
800,67.19685071937498,"East Flatbush, Rugby, Farragut","Crown Heights South, Wingate"
795,67.19685071937498,New York City,"Crown Heights South, Wingate"
796,67.19685071937498,"Bedford Park, Norwood, Fordham","Crown Heights South, Wingate"
798,67.19685071937498,New York City,"Crown Heights South, Wingate"
799,67.19685071937498,"Bedford Park, Norwood, Fordham","Crown Heights South, Wingate"
803,66.71989406029104,"Lower East Side, Chinatown","Crown Heights South, Wingate"
802,66.5553952288678,"Greenwich Village, SoHo","Crown Heights South, Wingate"
1409,66.54642282031905,"Crown Heights South, Wingate","Ridgewood, Glendale, Maspeth"
1462,66.54625153655073,"Crown Heights South, Wingate","Forest Hills, Rego Park"
824,66.43794060558706,"Williamsburg, Greenpoint","Crown Heights South, Wingate"
1207,66.09393601064633,"Crown Heights South, Wingate","Astoria, Long Island City"
806,65.99610380371186,"Stuyvesant Town, Turtle Bay","Crown Heights South, Wingate"
1571,65.99411185371264,"Crown Heights South, Wingate","Fresh Meadows, Briarwood"
1357,65.40906031992625,"Crown Heights South, Wingate","Elmhurst, South Corona"
804,64.86292402261273,"Chelsea, Clinton","Crown Heights South, Wingate"
1256,64.68516674545432,"Crown Heights South, Wingate","Sunnyside, Woodside"
805,64.4726644080305,Midtown Business District,"Crown Heights South, Wingate"
1516,64.18826478487364,"Crown Heights South, Wingate",Flushing Bay Terrace
1742,63.86731060399456,"Crown Heights South, Wingate","Bayside, Douglastown, Little neck"
1306,63.72219853334681,"Crown Heights South, Wingate","Jackson Heights, North Corona"
808,62.98778045727939,Upper East Side,"Crown Heights South, Wingate"
807,62.69650906783074,"West Side, Upper West Side","Crown Heights South, Wingate"
810,61.66950133184692,Central Harlem,"Crown Heights South, Wingate"
811,61.477931603989376,East Harlem,"Crown Heights South, Wingate"
813,61.14885236594952,"Melrose, Mott Haven, Port Morris","Crown Heights South, Wingate"
816,59.6421076834932,"Highbridge, Concourse Village","Crown Heights South, Wingate"
814,59.59961129103522,"Hunts Point, Longwood","Crown Heights South, Wingate"
809,59.478864990399515,"Manhattanville, Hamilton Heights","Crown Heights South, Wingate"
815,58.783135992038304,"Morrisania, Crotona Park East","Crown Heights South, Wingate"
820,58.76916416388452,"Soundville, Parkchester","Crown Heights South, Wingate"
818,58.62909657223738,"East Tremont, Belmont","Crown Heights South, Wingate"
822,57.557273979119664,"Pelham Parkway, Morris Park, Laconia","Crown Heights South, Wingate"
817,57.20076892671477,"University Heights, Fordham, Mt Hope","Crown Heights South, Wingate"
823,57.153880503315314,"Wakefield, Williamsbridge","Crown Heights South, Wingate"
821,56.88448608961947,"Throgs Nk., Co-op City, Pelham Bay","Crown Heights South, Wingate"
819,55.968333374927425,"Riverdale, Kingsbridge, Marble Hill","Crown Heights South, Wingate"
