,Name,Coords
0,New York City,"(40.7127837, -74.0059413)"
1,"Battery Park City, Tribeca","(40.7033145, -74.0162369)"
2,"Greenwich Village, SoHo","(40.7221373, -74.0097722)"
3,"Lower East Side, Chinatown","(40.7194862, -73.96390079999999)"
4,"Chelsea, Clinton","(40.7464906, -74.00152829999999)"
5,Midtown Business District,"(40.7519997, -73.9892215)"
6,"Stuyvesant Town, Turtle Bay","(40.7299461, -73.9878211)"
7,"West Side, Upper West Side","(40.7777071, -73.99006039999999)"
8,Upper East Side,"(40.7735649, -73.9565551)"
9,"Manhattanville, Hamilton Heights","(40.8244444, -73.95)"
10,Central Harlem,"(40.7934744, -73.9216971)"
11,East Harlem,"(40.7957399, -73.93892129999999)"
12,"Washington Heights, Inwood","(40.6229368, -73.7358615)"
13,"Melrose, Mott Haven, Port Morris","(40.8014899, -73.9095811)"
14,"Hunts Point, Longwood","(40.8248438, -73.8915875)"
15,"Morrisania, Crotona Park East","(40.8366558, -73.89219589999999)"
16,"Highbridge, Concourse Village","(40.82290709999999, -73.919904)"
17,"University Heights, Fordham, Mt Hope","(40.8592667, -73.8984694)"
18,"East Tremont, Belmont","(40.8399207, -73.8756063)"
19,"Bedford Park, Norwood, Fordham","(40.7127837, -74.0059413)"
20,"Riverdale, Kingsbridge, Marble Hill","(40.8765849, -73.9094664)"
21,"Soundville, Parkchester","(40.8389893, -73.86041279999999)"
22,"Throgs Nk., Co-op City, Pelham Bay","(40.8695582, -73.8262622)"
23,"Pelham Parkway, Morris Park, Laconia","(40.8569374, -73.8564634)"
24,"Wakefield, Williamsbridge","(40.8626913, -73.8578916)"
25,"Williamsburg, Greenpoint","(40.7237134, -73.9509714)"
26,"Brooklyn Heights, Fort Greene","(40.6868434, -73.9765414)"
27,Bedford Stuyvesant,"(40.6872176, -73.9417735)"
28,Bushwick,"(40.6944282, -73.92128579999999)"
29,"East New York, Starrett City","(40.6490524, -73.8802271)"
30,"Park Slope, Carroll Gardens","(40.6701033, -73.9859723)"
31,"Sunset Park, Windsor Terrace","(40.65333529999999, -73.97620169999999)"
32,Crown Heights North,"(40.6681032, -73.9447994)"
33,"Crown Heights South, Wingate","(41.6848144, -73.9767935)"
34,"Bay Ridge, Dyker Heights","(40.62227780000001, -74.010747)"
35,"Bensonhurst, Bath Beach","(40.6017715, -73.99402789999999)"
36,"Borough Park, Ocean Parkway","(40.6221841, -73.9700916)"
37,"Coney Island, Brighton Beach","(40.5755438, -73.9707016)"
38,"Flatbush, Midwood","(40.65204809999999, -73.95902699999999)"
39,"Sheepshead Bay, Gerritsen Beach","(40.5876819, -73.9552308)"
40,"Brownsville, Ocean Hill","(40.6744138, -73.91218959999999)"
41,"East Flatbush, Rugby, Farragut","(40.7127837, -74.0059413)"
42,"Canarsie, Flatlands","(40.6404331, -73.9057588)"
43,"Astoria, Long Island City","(40.7297731, -73.9110817)"
44,"Sunnyside, Woodside","(40.7502445, -73.90958309999999)"
45,"Jackson Heights, North Corona","(40.765935, -73.8759692)"
46,"Elmhurst, South Corona","(40.7415066, -73.8750038)"
47,"Ridgewood, Glendale, Maspeth","(40.723158, -73.912637)"
48,"Forest Hills, Rego Park","(40.7264913, -73.8526352)"
49,Flushing Bay Terrace,"(40.771551, -73.75223969999999)"
50,"Fresh Meadows, Briarwood","(40.739571, -73.79695149999999)"
51,"Woodhaven, Richmond Hill","(40.6998251, -73.8312457)"
52,"Ozone Park, Howard Beach","(40.6701035, -73.8190231)"
53,"Bayside, Douglastown, Little neck","(40.7764906, -73.7506877)"
54,"Jamaica, St. Albans, Hollis","(40.7188306, -73.7958167)"
55,"Queens Village, Rosedale","(40.6584068, -73.7389596)"
56,"The Rockaways, Broad Channel","(40.592658, -73.7977928)"
57,"Stapleton, Port Richmond","(40.6264929, -74.07764139999999)"
58,"New Springville, South Beach","(40.5700686, -74.1177794)"
59,"Tottenville, Woodrow, Great Kills","(40.5451267, -74.1944111)"
