Geo_entity,Description,Descriptive Name
1,Citywide,New York City
101,By Neighborhood (community district),"Battery Park City, Tribeca"
102,By Neighborhood (community district),"Greenwich Village, SoHo"
103,By Neighborhood (community district),"Lower East Side, Chinatown"
104,By Neighborhood (community district),"Chelsea, Clinton"
105,By Neighborhood (community district),Midtown Business District
106,By Neighborhood (community district),"Stuyvesant Town, Turtle Bay"
107,By Neighborhood (community district),"West Side, Upper West Side"
108,By Neighborhood (community district),Upper East Side
109,By Neighborhood (community district),"Manhattanville, Hamilton Heights"
110,By Neighborhood (community district),Central Harlem
111,By Neighborhood (community district),East Harlem
112,By Neighborhood (community district),"Washington Heights, Inwood"
201,By Neighborhood (community district),"Melrose, Mott Haven, Port Morris"
202,By Neighborhood (community district),"Hunts Point, Longwood"
203,By Neighborhood (community district),"Morrisania, Crotona Park East"
204,By Neighborhood (community district),"Highbridge, Concourse Village"
205,By Neighborhood (community district),"University Heights, Fordham, Mt Hope"
206,By Neighborhood (community district),"East Tremont, Belmont"
207,By Neighborhood (community district),"Bedford Park, Norwood, Fordham"
208,By Neighborhood (community district),"Riverdale, Kingsbridge, Marble Hill"
209,By Neighborhood (community district),"Soundville, Parkchester"
210,By Neighborhood (community district),"Throgs Nk., Co-op City, Pelham Bay"
211,By Neighborhood (community district),"Pelham Parkway, Morris Park, Laconia"
212,By Neighborhood (community district),"Wakefield, Williamsbridge"
301,By Neighborhood (community district),"Williamsburg, Greenpoint"
302,By Neighborhood (community district),"Brooklyn Heights, Fort Greene"
303,By Neighborhood (community district),Bedford Stuyvesant
304,By Neighborhood (community district),Bushwick
305,By Neighborhood (community district),"East New York, Starrett City"
306,By Neighborhood (community district),"Park Slope, Carroll Gardens"
307,By Neighborhood (community district),"Sunset Park, Windsor Terrace"
308,By Neighborhood (community district),Crown Heights North
309,By Neighborhood (community district),"Crown Heights South, Wingate"
310,By Neighborhood (community district),"Bay Ridge, Dyker Heights"
311,By Neighborhood (community district),"Bensonhurst, Bath Beach"
312,By Neighborhood (community district),"Borough Park, Ocean Parkway"
313,By Neighborhood (community district),"Coney Island, Brighton Beach"
314,By Neighborhood (community district),"Flatbush, Midwood"
315,By Neighborhood (community district),"Sheepshead Bay, Gerritsen Beach"
316,By Neighborhood (community district),"Brownsville, Ocean Hill"
317,By Neighborhood (community district),"East Flatbush, Rugby, Farragut"
318,By Neighborhood (community district),"Canarsie, Flatlands"
401,By Neighborhood (community district),"Astoria, Long Island City"
402,By Neighborhood (community district),"Sunnyside, Woodside"
403,By Neighborhood (community district),"Jackson Heights, North Corona"
404,By Neighborhood (community district),"Elmhurst, South Corona"
405,By Neighborhood (community district),"Ridgewood, Glendale, Maspeth"
406,By Neighborhood (community district),"Forest Hills, Rego Park"
407,By Neighborhood (community district),Flushing Bay Terrace
408,By Neighborhood (community district),"Fresh Meadows, Briarwood"
409,By Neighborhood (community district),"Woodhaven, Richmond Hill"
410,By Neighborhood (community district),"Ozone Park, Howard Beach"
411,By Neighborhood (community district),"Bayside, Douglastown, Little neck"
412,By Neighborhood (community district),"Jamaica, St. Albans, Hollis"
413,By Neighborhood (community district),"Queens Village, Rosedale"
414,By Neighborhood (community district),"The Rockaways, Broad Channel"
501,By Neighborhood (community district),"Stapleton, Port Richmond"
502,By Neighborhood (community district),"New Springville, South Beach"
503,By Neighborhood (community district),"Tottenville, Woodrow, Great Kills"
