"","est_weather_stat_list","lon","lat","station_false","station_correct","may12","may19"
"1","Harku, Estonia",24.37111,59.1325,"Harku","Harku",12.2,16.5
"2","Jogeva, Estonia",26.39389,58.74667,"Jõgeva","Jogeva",14.5,19.3
"3","Johvi, Estonia",27.42111,59.35917,"Jõhvi","Johvi",13.2,19.4
"4","Kihnu, Estonia",23.96389,58.12361,"Kihnu","Kihnu",12.5,20.6
"5","Kunda, Estonia",26.56111,59.48417,"Kunda","Kunda",12.8,16.7
"6","Kuusiku, Estonia",24.71861,58.97556,"Kuusiku","Kuusiku",15,20.4
"7","Narva-Joesuu, Estonia",28.04083,59.45889,"Narva-Jõesuu","Narva-Joesuu",14.2,19.4
"8","Laane-Nigula, Estonia",26.6875,59.44417,"Lääne-Nigula","Laane-Nigula",13.5,21
"9","Pakri, Estonia",24.03694,59.38889,"Pakri","Pakri",8.5,11
"10","Parnu, Estonia",24.49711,58.38588,"Pärnu","Parnu",15.5,20.4
"11","Ristna, Estonia",22.05306,58.92611,"Ristna","Ristna",7.8,14.1
"12","Ruhnu, Estonia",23.24833,57.80028,"Ruhnu","Ruhnu",9.7,18.1
"13","Sorve, Estonia",22.1225,58.00194,"Sõrve","Sorve",7.4,16.5
"14","Toravere, Estonia",26.45861,58.26944,"Tõravere","Toravere",15.5,19.6
"15","Tiirikoja, Estonia",26,59,"Tiirikoja","Tiirikoja",10.7,18.5
"16","Turi, Estonia",25.4325,58.80861,"Türi","Turi",14.9,20.3
"17","Valga, Estonia",26.0473,57.77781,"Valga","Valga",15.4,20
"18","Viljandi, Estonia",25.59,58.36389,"Viljandi","Viljandi",15.2,20.1
"19","Vilsandi, Estonia",21.85972,58.38417,"Vilsandi","Vilsandi",7.6,15.3
"20","Virtsu, Estonia",23.52389,58.57,"Virtsu","Virtsu",9.7,20.3
"21","Vaike-Maarja, Estonia",26.25,59.12639,"V-Maarja","Vaike-Maarja",13.7,19.7
"22","Voru",27.01944,57.83389,"Võru","Voru",14.7,19.9
